54,Safety barrier,Road Markings,Existing,Radio Button,IRC:SP:84-2019 Â Clause 9.7.1.4 (i)Embankment height 3 m or more shall have safety barrier at the edge of formation. The height of embankment for installation for safety barrier shall be measured from the top of finished road level to bottom level of Original Ground Level (OGL) or invert level of ditch.,,TRUE,FALSE,F5, nh_sh_4_lane
55,End Treatment  ,Road Markings,Existing,Radio Button,IRC:SP:84-2019 Clause 9.7.2 Road side steel barriers b)End treatment for steel barrier: Fig 9.11 & Fig 9.12,If F5= Yes,TRUE,FALSE,F5.1, nh_sh_4_lane
56,Dangerous sharp curves after crests  long downgrades,Signage,Existing,Radio Button,,,FALSE,FALSE,F6, nh_sh_4_lane
57,Safety barrier extended by more than 100m at the start and end of the sharp curve,Signage,Existing,Radio Button,IRC 119:2015 Clause 4.3.7 On sharp curves  the W-beam barriers should extend to 100 m beyond the beginning and end of the curves,If F6= Yes,TRUE,FALSE,F6.1, nh_sh_4_lane
58,Road Marking Issues,Signage,Existing,,,Pop up Section G when clicked,FALSE,FALSE,F7, nh_sh_4_lane
59,Signboard Issues,Signage,Existing,,,Pop up Section H when clicked,FALSE,FALSE,F8, nh_sh_4_lane
60,Road Delineator Issues,Signage,Existing,Multiple selection; Check Box,,,FALSE,FALSE,F9, nh_sh_4_lane
61,Missing type,Signage,Existing,Multiple selection; Check Box,,If F9 = Missing,TRUE,FALSE,F9.1, nh_sh_4_lane
62,Comments,Signage,Existing,Text Area,,,FALSE,FALSE,F10, nh_sh_4_lane
63,Critical observation,Signage,Existing,Checkbox,,,FALSE,FALSE,F11, nh_sh_4_lane
64,General observation,Signage,Existing,Checkbox,,,FALSE,FALSE,F12, nh_sh_4_lane
65,Severity ,Signage,Existing,Dropdown,,,FALSE,FALSE,F13, nh_sh_4_lane
66,Priority ,Signage,Existing,Dropdown,,,FALSE,FALSE,F14, nh_sh_4_lane
67,Start GPS Location,Signage,Existing,Autogenerated,,,TRUE,FALSE,G1, nh_sh_4_lane
68,Start Chainage (km),Signage,Existing,Numerical Box,,,FALSE,FALSE,G2, nh_sh_4_lane
69,Type,Intersections or Rotary or Interchange,Existing,Multiple selection; Check Box,s,,TRUE,FALSE,G4, nh_sh_4_lane
70,Issues,Intersections or Rotary or Interchange,Existing,Multiple selection; Check Box,,,TRUE,FALSE,G5, nh_sh_4_lane
71,Critical observation,Intersections or Rotary or Interchange,Existing,Checkbox,,,FALSE,FALSE,G7, nh_sh_4_lane
72,General observation,Intersections or Rotary or Interchange,Existing,Checkbox,,,FALSE,FALSE,G8, nh_sh_4_lane
73,End GPS Location,Intersections or Rotary or Interchange,Existing,Autogenerated,,,FALSE,FALSE,G9, nh_sh_4_lane
74,End Chainage (km),Intersections or Rotary or Interchange,Existing,Numerical Box,,,FALSE,FALSE,G10, nh_sh_4_lane
75,Length (m),Intersections or Rotary or Interchange,Existing,Numerical Box,,If G5= Faded (Wear durability)/Missing,TRUE,FALSE,G11, nh_sh_4_lane
76,Severity ,Intersections or Rotary or Interchange,Existing,Dropdown,,,FALSE,FALSE,G12, nh_sh_4_lane
77,Priority ,Intersections or Rotary or Interchange,Existing,Dropdown,,,FALSE,FALSE,G13, nh_sh_4_lane
78,GPS Location,Intersections or Rotary or Interchange,Existing,Autogenerated,,,TRUE,FALSE,H1, nh_sh_4_lane
79,Chainage (km),Intersections or Rotary or Interchange,Existing,Numerical Box,,,FALSE,FALSE,H2, nh_sh_4_lane
80,Photo/Video/Audio,Intersections or Rotary or Interchange,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,H3, nh_sh_4_lane
81,Name ,Intersections or Rotary or Interchange,Existing,Type and search Dropdwon,,,TRUE,FALSE,H5, nh_sh_4_lane
82,Issues,Intersections or Rotary or Interchange,Existing,Multiple selection; Check Box,,,TRUE,FALSE,H6, nh_sh_4_lane
83,Obstruction due to,Intersections or Rotary or Interchange,Existing,Multiple selection; Check Box,,If H6 = Visibility Obstructed ,TRUE,FALSE,H7, nh_sh_4_lane
84,Comments,Intersections or Rotary or Interchange,Existing,Text Area,,,FALSE,FALSE,H9, nh_sh_4_lane
85,Critical observation,Intersections or Rotary or Interchange,Existing,Checkbox,,,FALSE,FALSE,H10, nh_sh_4_lane
86,General observation,Intersections or Rotary or Interchange,Existing,Checkbox,,,FALSE,FALSE,H11, nh_sh_4_lane
87,Severity ,Intersections or Rotary or Interchange,Existing,Dropdown,,,FALSE,FALSE,H12, nh_sh_4_lane
88,Priority ,Intersections or Rotary or Interchange,Existing,Dropdown,,,FALSE,FALSE,H13, nh_sh_4_lane
89,GPS Location,Intersections or Rotary or Interchange,Existing,Autogenerated,,,TRUE,FALSE,I1, nh_sh_4_lane
90,Chainage (km),Intersections or Rotary or Interchange,Existing,Numerical Box,,,FALSE,FALSE,I2, nh_sh_4_lane
91,Photo/Video/Audio,Intersections or Rotary or Interchange,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,I3, nh_sh_4_lane
92,Distress in ,Intersections or Rotary or Interchange,Existing,Radio Button,,,FALSE,FALSE,I4, nh_sh_4_lane
93,Rigid Pavement,Intersections or Rotary or Interchange,Existing,Multiple selection; Check Box,,If I4 = Rigid Pavement,FALSE,FALSE,I6, nh_sh_4_lane
94,Skidding due to ,Intersections or Rotary or Interchange,Existing,Radio Button,,,FALSE,FALSE,I7, nh_sh_4_lane
95,Comments,Intersections or Rotary or Interchange,Existing,Text Area,,,FALSE,FALSE,I8, nh_sh_4_lane
96,Critical observation,Intersections or Rotary or Interchange,Existing,Checkbox,,,FALSE,FALSE,I9, nh_sh_4_lane
97,End GPS Location,Intersections or Rotary or Interchange,Existing,Autogenerated,,,FALSE,FALSE,I11, nh_sh_4_lane
98,End Chainage (km),Intersections or Rotary or Interchange,Existing,Numerical Box,,,FALSE,FALSE,I12, nh_sh_4_lane
99,Length (m),Intersections or Rotary or Interchange,Existing,Numerical Box,,,FALSE,FALSE,I13, nh_sh_4_lane
100,Width (m),Intersections or Rotary or Interchange,Existing,Numerical Box,,,FALSE,FALSE,I14, nh_sh_4_lane
101,Depth (m),Intersections or Rotary or Interchange,Existing,Numerical Box,,,FALSE,FALSE,I15, nh_sh_4_lane
102,Severity ,Intersections or Rotary or Interchange,Existing,Dropdown,,,TRUE,FALSE,I16, nh_sh_4_lane
103,Priority ,Intersections or Rotary or Interchange,Existing,Dropdown,,,FALSE,FALSE,I17, nh_sh_4_lane
104,Junctions/Intersections,Intersections or Rotary or Interchange,Existing,Sub-Section,,,,FALSE,J1, nh_sh_4_lane
105,GPS Location,Intersections or Rotary or Interchange,Existing,Autogenerated,,,TRUE,FALSE,J1.1, nh_sh_4_lane
106,Chainage (km),Intersections or Rotary or Interchange,Existing,Numerical Box,,,FALSE,FALSE,J1.2, nh_sh_4_lane
107,Photo/Video/Audio,VRU Facilities,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,J1.3, nh_sh_4_lane
108,Type ,VRU Facilities,Existing,Drop down,IRC SP 041:1994 Clause 1.4.1 Generally intersections can be classified into three categories depending on the traffic conditions. (1) Uncontrolled Intersections at-grade  (2) Intersection with Priority Control  (3) Time separated intersection/Signalised Intersections at-Grade  (4) Space Separated Intersection/Grade Separated Intersections,,TRUE,FALSE,J1.4, nh_sh_4_lane
109,Issues on,VRU Facilities,Existing,Radio Button,,,TRUE,FALSE,J1.6, nh_sh_4_lane
110,Auxiliary Lane ,VRU Facilities,Existing,Radio Button,IRC SP 041:1994 Clause 4.8,If J1.6= Major Road,FALSE,FALSE,J1.7, nh_sh_4_lane
111,Channelizing Island ,VRU Facilities,Existing,Radio Button,IRC SP 041:1994 Fig 4.17 Clause 4.11.2/4.11.3,,FALSE,FALSE,J1.8, nh_sh_4_lane
112,Type,VRU Facilities,Existing,Radio Button,,If J1.8= Provided,FALSE,FALSE,J1.8.1, nh_sh_4_lane
113,Issues,VRU Facilities,Existing,Multiple selection; Check Box,,If J1.8= Provided,FALSE,FALSE,J1.8.2, nh_sh_4_lane
114,Issues,VRU Facilities,Existing,Multiple selection; Check Box,,If J1.9= Yes,FALSE,FALSE,J1.9.1, nh_sh_4_lane
115,Transition Speed Limit Provided,VRU Facilities,Existing,Radio Button,,,FALSE,FALSE,J1.10, nh_sh_4_lane
116,Signage Issues ,VRU Facilities,Existing,,,Pop up Section H when clicked on either options,FALSE,FALSE,J1.11, nh_sh_4_lane
117,Road Marking Issues ,VRU Facilities,Existing,,,Pop up Section G when clicked on either options,FALSE,FALSE,J1.12, nh_sh_4_lane
118,TCM Issues ,VRU Facilities,Existing,,,Pop up Section Q when clicked on either options,FALSE,FALSE,J1.13, nh_sh_4_lane
119,Pavement Condition Issues ,VRU Facilities,Existing,,,Pop up Section I when clicked on either options,FALSE,FALSE,J1.14, nh_sh_4_lane
120,VRU Facilities Issues ,VRU Facilities,Existing,,,Pop up Section K when  clicked on either options,FALSE,FALSE,J1.15, nh_sh_4_lane
121,Visibility obstruction from,VRU Facilities,Existing,Multiple selection; Check Box,IRC SP 041:1994 Clause 4.10.3. All sight distance obstructions  like bushes  trees and hoardings in the visibility triangle should be removed to improve safety. Fig. 4.16 shows the desirable amount of trimming to be done to hedges and trees at intersections.,,FALSE,FALSE,J1.16, nh_sh_4_lane
122,Drainage Issues ,VRU Facilities,Existing,,,Pop up Section D when  clicked on either options,FALSE,FALSE,J1.17, nh_sh_4_lane
123,Lighting Issues ,VRU Facilities,Existing,,,Pop up Section M when  clicked on either options,FALSE,FALSE,J1.18, nh_sh_4_lane
124,Violations,VRU Facilities,Existing,,,Pop up Section R when  clicked on either options,FALSE,FALSE,J1.19, nh_sh_4_lane
125,Traffic Signal,VRU Facilities,Existing,Heading,,If J1.4= Signalised ,FALSE,FALSE,J1.20, nh_sh_4_lane
126,Issues,VRU Facilities,Existing,Multiple selection; Check Box,,If J1.4= Signalised ,FALSE,FALSE,J1.20.1, nh_sh_4_lane
127,Issue In,VRU Facilities,Existing,Radio Button,,If J1.4= Signalised ,FALSE,FALSE,J1.20.2, nh_sh_4_lane
128,Signboard provided,VRU Facilities,Existing,Radio Button,,If J1.20.1= Signal not visible from 200 m  Pop up Section H when clicked ,FALSE,FALSE,J1.20.3, nh_sh_4_lane
129,Comments,VRU Facilities,Existing,Text Area,,,FALSE,FALSE,J1.21, nh_sh_4_lane
130,Critical observation,VRU Facilities,Existing,Checkbox,,,FALSE,FALSE,J1.22, nh_sh_4_lane
131,General observation,VRU Facilities,Existing,Checkbox,,,FALSE,FALSE,J1.23, nh_sh_4_lane
132,Severity ,VRU Facilities,Existing,Dropdown,,,FALSE,FALSE,J1.24, nh_sh_4_lane
133,Priority ,VRU Facilities,Existing,Dropdown,,,FALSE,FALSE,J1.25, nh_sh_4_lane
134,Rotary/Roundabout,VRU Facilities,Existing,Sub-Section,,,,FALSE,J2, nh_sh_4_lane
135,GPS Location,VRU Facilities,Existing,Autogenerated,,,TRUE,FALSE,J2.1, nh_sh_4_lane
136,Chainage (km),VRU Facilities,Existing,Numerical Box,,,FALSE,FALSE,J2.2, nh_sh_4_lane
137,Photo/Video/Audio,VRU Facilities,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,J2.3, nh_sh_4_lane
138,Channelizing Island/splitter ,VRU Facilities,Existing,Radio Button,,,FALSE,FALSE,J2.4, nh_sh_4_lane
139,Issues,VRU Facilities,Existing,Multiple selection; Check Box,,If J2.4= Provided,FALSE,FALSE,J2.4.1, nh_sh_4_lane
140,Transition Speed Limit Provided,VRU Facilities,Existing,Radio Button,,,FALSE,FALSE,J2.6, nh_sh_4_lane
141,Signage Issues ,VRU Facilities,Existing,,,Pop up Section H when clicked on either options,FALSE,FALSE,J2.7, nh_sh_4_lane
142,Road Marking Issues ,VRU Facilities,Existing,,,Pop up Section G when clicked on either options,FALSE,FALSE,J2.8, nh_sh_4_lane
143,Pavement Condition Issues ,VRU Facilities,Existing,,,Pop up Section I when clicked on either options,FALSE,FALSE,J2.9, nh_sh_4_lane
144,VRU Facilities Issues ,VRU Facilities,Existing,,,Pop up Section K when  clicked on either options,FALSE,FALSE,J2.10, nh_sh_4_lane
145,Visibility obstruction from,VRU Facilities,Existing,Multiple selection; Check Box,IRC SP 041:1994 Clause 4.10.3. All sight distance obstructions  like bushes  trees and hoardings in the visibility triangle should be removed to improve safety. Fig. 4.16 shows the desirable amount of trimming to be done to hedges and trees at intersections.,,FALSE,FALSE,J2.11, nh_sh_4_lane
146,Lighting in approaches ,VRU Facilities,Existing,,,Pop up Section M when  clicked on either options,FALSE,FALSE,J2.13, nh_sh_4_lane
147,Violations,VRU Facilities,Existing,,,Pop up Section R when  clicked on either options,FALSE,FALSE,J2.14, nh_sh_4_lane
148,Comments,VRU Facilities,Existing,Text Area,,,FALSE,FALSE,J2.15, nh_sh_4_lane
149,Critical observation,VRU Facilities,Existing,Checkbox,,,FALSE,FALSE,J2.16, nh_sh_4_lane
150,General observation,VRU Facilities,Existing,Checkbox,,,FALSE,FALSE,J2.17, nh_sh_4_lane
151,Severity ,VRU Facilities,Existing,Dropdown,,,FALSE,FALSE,J2.18, nh_sh_4_lane
152,Priority ,VRU Facilities,Existing,Dropdown,,,FALSE,FALSE,J2.19, nh_sh_4_lane
153,Separator Type,VRU Facilities,Existing,Radio Button,,,TRUE,FALSE,K1, nh_sh_4_lane
154,Type,VRU Facilities,Existing,Drop down,,If K1= Interchange,TRUE,FALSE,K1.1, nh_sh_4_lane
155,Type,VRU Facilities,Existing,Radio Button,,If K1= Structures,TRUE,FALSE,K1.2, nh_sh_4_lane
156,GPS Location,VRU Facilities,Existing,Autogenerated,,Display for any option selected in K1,TRUE,FALSE,K2, nh_sh_4_lane
157,Chainage (km),VRU Facilities,Existing,Numerical Box,,Display for any option selected in K1,FALSE,FALSE,K3, nh_sh_4_lane
158,Photo/Video/Audio,VRU Facilities,Existing,Camera/ Upload,,Display for any option selected in K1.Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,K4, nh_sh_4_lane
159,Comments,Structures,Existing,Text Area,,,FALSE,FALSE,, nh_sh_4_lane
160,Critical observation,Structures,Existing,Checkbox,,,FALSE,FALSE,, nh_sh_4_lane
161,General observation,Structures,Existing,Checkbox,,,FALSE,FALSE,, nh_sh_4_lane
162,Severity ,Structures,Existing,Dropdown,,,FALSE,FALSE,, nh_sh_4_lane
163,Priority ,Structures,Existing,Dropdown,,,FALSE,FALSE,, nh_sh_4_lane
164,Type,Structures,Existing,Dropdown,,,TRUE,FALSE,L1, nh_sh_4_lane
165,GPS Location,Structures,Existing,Autogenerated,,Display for any option selected in L1,TRUE,FALSE,L2, nh_sh_4_lane
166,Chainage (km),Structures,Existing,Numerical Box,,Display for any option selected in L1,FALSE,FALSE,L3, nh_sh_4_lane
167,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Display for any option selected in L1.Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,L4, nh_sh_4_lane
168,Issues,Structures,Existing,Multiple selection; Check Box,,If K1= Footpath (Sidewalk),FALSE,FALSE,L1.1, nh_sh_4_lane
169,Width (m),Structures,Existing,Numerical Box,,If K1.4 = Width < 1.5m,TRUE,FALSE,L1.1.1, nh_sh_4_lane
170,Issues,Structures,Existing,Multiple selection; Check Box,,If K1= Pedestrian Crossing,FALSE,FALSE,L1.2, nh_sh_4_lane
171,Crossing Width,Structures,Existing,Numerical Box,,If K1.5 = Crossing Width < 2m  ,TRUE,FALSE,L1.2.1, nh_sh_4_lane
172,Accessible through,Structures,Existing,Multiple selection; Check Box,,If K1= Foot Over Bridge,TRUE,FALSE,L1.3, nh_sh_4_lane
173,Issues,Structures,Existing,Multiple selection; Check Box,,If K1= Foot Over Bridge,FALSE,FALSE,L1.4, nh_sh_4_lane
174,Accessible through,Structures,Existing,Multiple selection; Check Box,,If K1= Subway,TRUE,FALSE,L1.5, nh_sh_4_lane
175,Issues,Structures,Existing,Multiple selection; Check Box,,If K1= Subway,FALSE,FALSE,L1.6, nh_sh_4_lane
176,Comments,Structures,Existing,Text Area,,Display for any option selected in L1,FALSE,FALSE,L5, nh_sh_4_lane
177,Critical observation,Structures,Existing,Checkbox,,Display for any option selected in L1,FALSE,FALSE,L6, nh_sh_4_lane
178,General observation,Structures,Existing,Checkbox,,Display for any option selected in L1,FALSE,FALSE,L7, nh_sh_4_lane
179,Severity ,Structures,Existing,Dropdown,,Display for any option selected in L1,FALSE,FALSE,L8, nh_sh_4_lane
180,Priority ,Structures,Existing,Dropdown,,Display for any option selected in L1,FALSE,FALSE,L9, nh_sh_4_lane
181,Type,Structures,Existing,Dropdown,,,TRUE,FALSE,M1, nh_sh_4_lane
182,GPS Location,Structures,Existing,Autogenerated,,Display for any option selected in M1,TRUE,FALSE,M2, nh_sh_4_lane
183,Chainage (km),Structures,Existing,Numerical Box,,Display for any option selected in M1,FALSE,FALSE,M3, nh_sh_4_lane
184,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Display for any option selected in M1.Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,M4, nh_sh_4_lane
185,Type,Structures,Existing,Dropdown,,,TRUE,FALSE,N1, nh_sh_4_lane
186,GPS Location,Structures,Existing,Autogenerated,,Display for any option selected in N1,TRUE,FALSE,N2, nh_sh_4_lane
187,Chainage (km),Structures,Existing,Numerical Box,,Display for any option selected in N1,FALSE,FALSE,N3, nh_sh_4_lane
188,Photo/Video/Audio,Structures,Existing,Camera/ Upload,,Display for any option selected in N1.Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,N4, nh_sh_4_lane
189,Issues,Structures,Existing,Multiple selection; Check Box,,If N1= Toll Plaza,FALSE,FALSE,N5, nh_sh_4_lane
190,Adequate taper length ,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
191,Road Markings ,Structures,Existing,Radio button,,,TRUE,FALSE,, nh_sh_4_lane
192,Visibiltiy/ retroreflective,Structures,Existing,Radio button,IRC:SP:84-2019 Â Clause:10.4.2 The width of each toll lane shall be 3.2 m,,TRUE,FALSE,, nh_sh_4_lane
193,Road studs,Structures,Existing,Radio button,IRC:SP:84-2019 Clause:10.4.2  width of each toll lane for over dimensioned vehicles  where it shall be 4.5 m.,,TRUE,FALSE,, nh_sh_4_lane
